train_loss,train_acc,step,val_loss,epoch
0.35767990350723267,0.9375,0,,
2.1978962421417236,0.875,1,,
0.7894566059112549,0.75,2,,
1.0386682748794556,0.71875,3,,
0.8469282388687134,0.78125,4,,
0.49238136410713196,0.75,5,,
0.5639567971229553,0.875,6,,
1.1604373455047607,0.84375,7,,
1.1212096214294434,0.46875,8,,
0.4833190441131592,0.90625,9,,
0.45193731784820557,0.96875,10,,
0.24796757102012634,0.96875,11,,
6.6280131340026855,0.90625,12,,
0.5314726233482361,0.96875,13,,
1.2402523756027222,0.90625,14,,
1.0508067607879639,0.9375,15,,
3.2069201469421387,0.71875,16,,
0.7099698185920715,0.90625,17,,
0.904905378818512,0.8125,18,,
3.711087703704834,0.71875,19,,
3.6489131450653076,0.75,20,,
3.26405668258667,0.9375,21,,
1.0474027395248413,0.75,22,,
0.7221124172210693,0.90625,23,,
0.2507176101207733,0.9375,24,,
1.0839362144470215,0.71875,25,,
0.3350186347961426,0.8125,26,,
0.317267507314682,0.875,27,,
0.611513614654541,0.8125,28,,
0.3826552629470825,0.875,29,,
0.4590502083301544,0.84375,30,,
0.7982313632965088,0.75,31,,
0.5301942825317383,0.78125,32,,
0.9033728241920471,0.6875,33,,
0.4591435194015503,0.84375,34,,
0.4090558886528015,0.9375,35,,
1.2543609142303467,0.8125,36,,
0.21150356531143188,0.9375,37,,
0.5167633295059204,0.875,38,,
0.5830312371253967,0.875,39,,
1.7042279243469238,0.8125,40,,
1.313881754875183,0.34375,41,,
0.8148346543312073,0.46875,42,,
0.366567999124527,0.84375,43,,
0.9370149970054626,0.78125,44,,
0.6999552845954895,0.875,45,,
0.009117577224969864,1.0,46,,
3.7477824687957764,0.84375,47,,
0.02321227639913559,1.0,48,,
0.865360677242279,0.875,49,,
6.845851898193359,0.625,50,,
3.853177547454834,0.6875,51,,
0.4476710557937622,0.78125,52,,
0.8333750367164612,0.53125,53,,
0.4817023277282715,0.84375,54,,
0.2139250636100769,0.96875,55,,
0.6253819465637207,0.8125,56,,
3.9821176528930664,0.78125,57,,
0.5913081169128418,0.875,58,,
0.3049905002117157,0.84375,59,,
1.6377952098846436,0.75,60,,
3.912182569503784,0.53125,61,,
0.4345240294933319,0.78125,62,,
0.6041768193244934,0.90625,63,,
4.582075595855713,0.71875,64,,
0.7270686626434326,0.84375,65,,
1.2178717851638794,0.78125,66,,
1.290470838546753,0.875,67,,
0.5407702326774597,0.84375,68,,
0.4672548770904541,0.75,69,,
1.3044357299804688,0.40625,70,,
0.5722758173942566,0.8125,71,,
2.4021472930908203,0.78125,72,,
0.37224000692367554,0.90625,73,,
0.4960920512676239,0.8461538553237915,74,,
,,74,0.6779471039772034,0
3.5245370864868164,0.875,75,,
0.39002102613449097,0.84375,76,,
0.4190447926521301,0.84375,77,,
0.7968124747276306,0.8125,78,,
0.5672026872634888,0.75,79,,
0.2957668602466583,0.9375,80,,
0.7864623069763184,0.875,81,,
0.2472609579563141,0.90625,82,,
1.9609689712524414,0.90625,83,,
1.3104639053344727,0.6875,84,,
0.48664483428001404,0.84375,85,,
2.3373863697052,0.75,86,,
0.6073988676071167,0.59375,87,,
0.40639805793762207,0.8125,88,,
0.24381087720394135,0.90625,89,,
0.398746520280838,0.875,90,,
0.3863488435745239,0.875,91,,
0.7527953386306763,0.78125,92,,
0.40945926308631897,0.90625,93,,
1.2863574028015137,0.75,94,,
0.4160143733024597,0.8125,95,,
0.7770893573760986,0.59375,96,,
3.852846145629883,0.53125,97,,
0.4439747929573059,0.8125,98,,
0.20064134895801544,0.9375,99,,
0.7001714706420898,0.875,100,,
1.1906136274337769,0.875,101,,
1.1358435153961182,0.84375,102,,
1.1144194602966309,0.84375,103,,
0.9513369798660278,0.84375,104,,
0.755108118057251,0.84375,105,,
0.12299063801765442,0.96875,106,,
0.251887708902359,0.9375,107,,
3.3747658729553223,0.90625,108,,
0.5239989757537842,0.78125,109,,
0.23833246529102325,0.9375,110,,
0.5491869449615479,0.75,111,,
0.3441777229309082,0.875,112,,
0.6220524311065674,0.75,113,,
0.35564810037612915,0.90625,114,,
0.32538536190986633,0.875,115,,
3.3640501499176025,0.84375,116,,
0.43875259160995483,0.875,117,,
3.264944314956665,0.96875,118,,
0.2598775327205658,0.90625,119,,
